handle,wallet,chain,source
notopenfalla,0x36d6ee0936b0d99a4f1e70ad44f50f7d2e0d4a3e,BSC,hodlers+amount+rpc
maxgamboa92,0x8420ee55f9064b9654aae432f6c75e3cde4cce33,BSC,hodlers+amount+rpc
doofygilmore,0x24b79104a13d991b6de4d8dee95a62473ca19a55,BSC,hodlers+amount+rpc
joyous,0x68ae3e6b40ddf23a09dc95276932fb3551e68c7f,BSC,hodlers+amount+rpc
yepp,0x1735227e135da9eff61deb4f3858de0e077b1f9d,BSC,hodlers+amount+rpc
chunks02,0xaece9048e50120727b7c3fcb585d04bee7a936aa,BSC,hodlers+amount+rpc
jgrosario8700,0x83a6c3fa8341d4497bbc46b3f297e25d1bcfbcf9,BSC,hodlers+amount+rpc
okayoliveant,0x31901688da855cb5a58ee9b08dc780bb68b2075c,BSC,hodlers+amount+rpc
shyhappysquid,0xf63f7a10a56f49081832f87cb21839372d4f92e4,BSC,hodlers+amount+rpc
bakihanma,0xce23af46c4a4c5239421a08d4994d600eb4077d8,BSC,hodlers+amount+rpc
elgwapo1,0x197ce8238cb719ab0b3e5210ab6b8e7d8f3d1c1a,BSC,hodlers+amount+rpc
daddy456,0x2e9a231164297fad7e3991b19fc9ea338c5ee889,BSC,hodlers+amount+rpc
maximus0147,0xa68977b9cb553b25756c9a62d41a2656b61d0593,BSC,hodlers+amount+rpc
dolesgems,0x9d16f2f3f29ccf92e6a557d7fbf07d3c3e949882,BSC,hodlers+amount+rpc
rrrrrr666666,0xc26b7f93eb9324584466e00ca44da95e4ab28e47,BSC,hodlers+amount+rpc
shawnthread,0xc94ab658890ac35dbf3004177a3b81afca13da6c,BSC,hodlers+amount+rpc
flowwater001,0x41bff9a7175653e2ab802beec42c81e65429025f,BSC,hodlers+amount+rpc
roaringkittyy,0xc41ff324a9e61417833041c2ccb508683a079bb1,BSC,hodlers+amount+rpc
gimmedatmonion,0xe7ce12fe855e8e779c8d4822e81bc6d84746b224,BSC,hodlers+amount+rpc
d363n6uy,0xa326cee75116cc8e1fe3b4bb02ebff16c25d042f,BSC,hodlers+amount+rpc
0xmmu,0xc9ecc5d3679dcbfe4f00fb96dc33ea5352d90b64,BSC,hodlers+amount+rpc
zippyrainymacaw,0x9cba97294cc816c9aeed3747eba5fef09206b270,BSC,hodlers+amount+rpc
sveatoslav,0xca3a1b2a77e716f04173fc172bef47ab4a6003e2,BSC,hodlers+amount+rpc
slmoy,0xf1692abe377b4fdc780d97df8c5f5dfbaea2c7bf,BSC,hodlers+amount+rpc
wilsonng2019,0x1074f4df0e85dc75d078c007ed620e3f3a79f292,BSC,hodlers+amount+rpc
ivvan,0x72c17dba5161b5b20381aaf1e031e139845ce855,BSC,hodlers+amount+rpc
tiliskitip,0xdef3e9a72314a12708721b4e7552d1b30010b02e,Robinhood,hodlers+amount+rpc
thecatstrategy,0xc0eb63f85e9e917e3892eb01f2bc34ca6c70f5ac,Robinhood,hodlers+amount+rpc
rockyk7,0x8185753f2abf1faa1bc89ddd3e1649ddb96f04a1,Robinhood,hodlers+amount+rpc
63pasta,0x890a3b650407223a2cd4050acaf576a699e46f05,Robinhood,hodlers+amount+rpc
exit_onchain,0xdf2b056868da7ef91535992efc31cf0b1678a1c5,Robinhood,hodlers+amount+rpc
0528lu_,0x3b1c56df03c640d0e3e8e28b688bc3ab6690a205,Robinhood,hodlers+amount+rpc
corruptor,0x3af7b5f791e3e1b9b756a7b462d63198d1ac5140,Robinhood,hodlers+amount+rpc
taojing,0x097b95cd52bd0d1fbc4d955f441b51d5717af468,Robinhood,hodlers+amount+rpc
chang__chong,0x4cd39eb4be8732a9e70b5142b9bcf63e5c23ce70,Robinhood,hodlers+amount+rpc
cryptoje,0x96e1d52cfd1746ba0b43d201e835200ed1151ff6,Robinhood,hodlers+amount+rpc
ed_x0101,0x9f47f346d573127a7eb6268be83571544a88d1ea,Robinhood,hodlers+amount+rpc
spikebot,0xa552b4482d87e5daaeffaad1c2d0f1158d878958,Robinhood,hodlers+amount+rpc
0xmrdq,0x3416b77e0cc37d0a1451c423890c23781a42efc1,Robinhood,hodlers+amount+rpc
nikke,0xb27cbd567ddbad8cd8383f52fca6f5fae8b574f3,Robinhood,hodlers+amount+rpc
cassiexu_,0x491d0ae852c878168d1a853aef4c375ec35f11f0,Robinhood,hodlers+amount+rpc
0x_brocken,0x36e1833f1c74039342e94cf9e21889fce2d64d3b,Robinhood,hodlers+amount+rpc
lianlian0811,0x234a298bdb34a2dccaed40ad34cb19a93fa11aed,Robinhood,hodlers+amount+rpc
xxx_xunkown,0x24221353aa1efa19112c1fc8b83ced17788159e3,Robinhood,hodlers+amount+rpc
dualwarmswift,0x577e11f5005586890b049cdc0ca19677794f1849,Robinhood,hodlers+amount+rpc
yipie,0x0cc5ef9e7941bf367466c93d7af43efa09bafb84,Robinhood,hodlers+amount+rpc
xttttttt798,0xc1ff0171d1b7d96149166a57bfeceb1a905a4ff3,Robinhood,hodlers+amount+rpc
bassamkov,0xe21af468a707f31053f95fdc2991c600d11ec86a,Robinhood,hodlers+amount+rpc
arron_finance,0xcf30248373fdef36f86132b5e3ffcd4c0c6f0bd2,Robinhood,hodlers+amount+rpc
alivefreemole,0x2cafe0e0e3e5ac3cfdef259a74c39852ca9b3505,Robinhood,hodlers+amount+rpc
swiftrearwren,0x0c07f9662a009d1948308cb117123d7d5713c45b,Robinhood,hodlers+amount+rpc
misterjin,0x6aa3db86183c93c71bd8639985998e3f9f61ae4c,BSC,hodlers+amount+rpc
cryptoaeon,0x9a67eda2996342cec2121456015de8021ebe2a8f,Ethereum,hodlers+amount+rpc
0xburgesa,0x3a602aa0a818adc4bddb35b66dd8677c1632dc94,Robinhood,hodlers+amount+rpc
pumpingyourcoins,0x885497752047d9e20dca23d497a23255787abd0b,Robinhood,hodlers+amount+rpc
y1111,0x42ad30aae40158392f602efbb8a9590b0925292a,Robinhood,hodlers+amount+rpc
tyler_solana,0x7854e417098202b3a98cb4fe168bbc2d5bf6fbff,Robinhood,hodlers+amount+rpc
nobsicle,0x6e5bd49aa75741e7e2a5256ff461e95cda700b01,Robinhood,hodlers+amount+rpc
ocrxa,0xece94d4a7fb449e5cd7258434a9659bceb57b87f,BSC,hodlers+amount+rpc
meowmad,0x81d455faf5af1d671e03eb2aa43d48647ad9b83b,BSC,hodlers+amount+rpc
nogiolmokini,0x53644cb9f8e6067c8fd5d546b1fd06805067a3ef,BSC,hodlers+amount+rpc
chasethegains,0xb12baa3f81919404f8a7d06a0949f9412829dba2,BSC,hodlers+amount+rpc
