handle,wallet,chain,source
mirro7777,0xe83d6571b8ae3c22fa801ae439f3f1daf66a958a,BSC,hodlers+amount+rpc
0xfalcs,0x1cd026a1d83f8077100c9e98ccd29507a7b8844e,Base,hodlers+amount+rpc
colossalresurrection,0x5f1e0e095118066628780a1579dfd000af54c2ab,Base,hodlers+amount+rpc
iceslayerman,0xd1e4308fd3f2322332e1f41454cfedfffeb1eb4d,Base,hodlers+amount+rpc
rawrxd,0xa0c4725a8dff325dcaed0247b284d32fa33f53ad,Base,hodlers+amount+rpc
mac_eth,0xf8edfa4e33509fec32a62c070360dd11f47c29ca,Base,hodlers+amount+rpc
llonchain,0x36a1d7c9820296e9f3d816e54010d52eb98428d9,Base,hodlers+amount+rpc
xventures,0x274a38d48225256add28fb78c5e22df1fcacced7,Base,hodlers+amount+rpc
rebornmf,0xfdfb3e1cf95c91e183b20e9d2fe1e6a55b9d5b1a,Base,hodlers+amount+rpc
catdog_,0xb49c2dc243cccaf1011e4574536d2a9c49760731,Base,hodlers+amount+rpc
0xvantaa,0x69326e48f68500fb6cf3b3a7da640737b9cc347b,Base,hodlers+amount+rpc
ofgl,0xfb400c2446e6d780e312b22dd1c768a894943554,Robinhood,hodlers+amount+rpc
workethic,0x7c4bfeaea6bb64772d57cf10110e696d00df8ec3,Robinhood,hodlers+amount+rpc
cantgetme,0x0c0b83fe9c528baebe4e183ee728bdae2e76315a,Robinhood,hodlers+amount+rpc
sssslashhhhhhh,0x88121a196bb8fe35d4790985126777106d0a960a,BSC,hodlers+amount+rpc
laxmi_shishya,0x500ffb181e857e96107f2db80a131094b26a8e21,BSC,hodlers+amount+rpc
knownlikesnail,0xd8a43d671d7085f68b01ec4471b412a1ba645f69,BSC,hodlers+amount+rpc
fitdeafeagle,0x1cd7aed8950e70fae30ec5c3bf1fcd1ce85f35c5,BSC,hodlers+amount+rpc
goooch,0xeec8a4ee6b9c562fe5e5b3f696e4123deb33393b,BSC,hodlers+amount+rpc
kingegginton,0x8983d372ee03fd281e43ce5ced650cd90bf8cb0a,BSC,hodlers+amount+rpc
westernhunter,0xb1df07eaa83906c04f70d014760c64569e381f37,BSC,hodlers+amount+rpc
emrr,0x3b31a85274c745aa2296b9ab0275b404e7dabf0c,BSC,hodlers+amount+rpc
stalesolardog,0xd6ec263c99930a4434d0320f7c63ba71b1d07648,BSC,hodlers+amount+rpc
optimismaxxing,0x8df80e202e7a3cf126eaeea2fb8140478f9ab9fc,BSC,hodlers+amount+rpc
anitamaxwynn,0x96d253b3dfadd8355bc0aee6645567b55d6001d4,BSC,hodlers+amount+rpc
frogking,0x1d5d3d604be07b8e4947f69d6742ab09d8b2e9d3,BSC,hodlers+amount+rpc
bldfire,0x2110f35935d043b2844812421debf13f1b38b75f,BSC,hodlers+amount+rpc
masonbailbonds,0x1e69414387f9bcf260fdedd3fb740731a4153b6f,BSC,hodlers+amount+rpc
chief4feather,0x84960aa789a6428163ef438c764b34bd43461c40,BSC,hodlers+amount+rpc
barontrump,0xf84bb8383834b38b887118a9b4f869641506af78,BSC,hodlers+amount+rpc
sleepyjaden,0x8bafbfa5095fa9e8ff2d4fb7bc2935886e649826,BSC,hodlers+amount+rpc
my_richard_l,0x3ff81b444c7b4937ea137a754e91c5bbf0a6a000,BSC,hodlers+amount+rpc
mrvls211,0xa3ca287c32d805234e3bae6dc6ebcfd843534add,BSC,hodlers+amount+rpc
hardusualwhale,0xd232cc7bf15a3b7492e6f963108d01f2669ed34d,BSC,hodlers+amount+rpc
oghappy,0xd54ed3a11ccce474f449cccae834c61d179391d0,BSC,hodlers+amount+rpc
frontrunjosh,0x6b0eb4f72ea2faffc24b1c6351e3aef020971dc2,BSC,hodlers+amount+rpc
crossange,0xa8c859d6873bd3581a28c04192538484790430b3,BSC,hodlers+amount+rpc
vessel511,0xcdffeb05b8f7edb1be1739debcd9464f57924fcb,BSC,hodlers+amount+rpc
don22,0x440f546bfd282e002f8748ce7216430bbab677a5,BSC,hodlers+amount+rpc
lilpengwin,0x57a8260d8ae824ffa31bb54764a086ba8b6daa28,BSC,hodlers+amount+rpc
leyten,0x1beb529c1796915582ae43f0d143361b94d9944a,BSC,hodlers+amount+rpc
fourfourfour,0xebf6391fff9d2745dcb8847e349d29a6cb1ba180,BSC,hodlers+amount+rpc
balopa,0x88cc11538bca359a08fa35d75ec626d663f769ea,BSC,hodlers+amount+rpc
mrpunkdoteth,0x863fa63bceb1080f8bf0f0db042b14868eadc5fd,BSC,hodlers+amount+rpc
klys7788,0xe86864e71a309409951c2f7b53ea960e31fe02f2,BSC,hodlers+amount+rpc
manualbiggecko,0x1942764680539e64132246205240c0678e0378c5,BSC,hodlers+amount+rpc
0xwebster,0x9fb2345f5ea353d4cd6d4fd09d5a7261937b51b6,BSC,hodlers+amount+rpc
nftyboys,0xb5726b1c703584122af5dd897f13d13ad6cacb6c,BSC,hodlers+amount+rpc
pr3t0r14n,0x45c4bb76079a9642e2e5cb2036cf7d47fb480eed,BSC,hodlers+amount+rpc
pppppp,0xa81cb308c5108df234d318243824935d04988a2b,BSC,hodlers+amount+rpc
stanleyyelnats,0xc9be78796bf1accf008feb7c7bd99a96b7020d4d,BSC,hodlers+amount+rpc
wealth_bee,0xa23ba0e345dd9504687a9a71b58bd9f246ce6531,BSC,hodlers+amount+rpc
wetdreambaba4444,0x68edf72ed9f43457e447d6056c823b79d86a1c21,BSC,hodlers+amount+rpc
fuses,0xfd2df0e657849d4ce5f68b112b3873b04c8865c0,BSC,hodlers+amount+rpc
legalblusheel,0x909a289ffc2133ef4e75c45473a51e4291fa92ed,BSC,hodlers+amount+rpc
raizel,0x06e04b685cc4ab3f5ddabc0c49e818a91311a904,BSC,hodlers+amount+rpc
toritoluxor,0x8996d023728c0c6b563e67b5f3f3886421b601a9,BSC,hodlers+amount+rpc
trad0000r,0x2517576520784664e360adba7e2e05b6968eb5f7,BSC,hodlers+amount+rpc
chubbicorn230,0x8405a524d977d0998c8b585ad98d6edc41cdc943,Robinhood,hodlers+amount+rpc
bolddustyhyena,0xbd807396ff8268329054738f24a9eeddae5481a9,Robinhood,hodlers+amount+rpc
caoliyoushe,0x8c3592fccf0c6de46042fdd468ffbe80e755fbec,Robinhood,hodlers+amount+rpc
thedonkoftrading,0x80d17e98481e1971b083aca6a588a0442dab9223,Robinhood,hodlers+amount+rpc
brightavian,0x2de73fc9b51592e0f9ff5788ef833775329d0fc1,Robinhood,hodlers+amount+rpc
comeupkhan,0x23386ea827c6d8fcdbd454d0855036d3c2f2cf5b,Robinhood,hodlers+amount+rpc
excessincbadger,0x9cd0376bd603dd93909a3437c166ddb4bf545f13,Robinhood,hodlers+amount+rpc
tflo__,0x1a00caa6f66f05f2f9cc7b12feac34187fc2a492,Robinhood,hodlers+amount+rpc
labraca,0xb52bbff6d2c54cbf5c8d15f8649b5804f075eeb9,Robinhood,hodlers+amount+rpc
marv,0xc97cf9cdeb7fed2be405ce986628c6b9b0db12b8,Robinhood,hodlers+amount+rpc
bystevenr,0xd0b3f02a7ce7669acb6eaf251e719f62426be440,Ethereum,hodlers+amount+rpc
kv4rl,0x1338a67b37aeaf796357d78501a0c3695c51c48e,Ethereum,hodlers+amount+rpc
daemo,0x9d4d06a5d76bf047b25c373b4e53534979047cd7,Robinhood,hodlers+amount+rpc
fauji,0xf273063c65dca3b11f99e604e949b38a86918266,Robinhood,hodlers+amount+rpc
fullpinkyak,0x2ed589426559024110e203a05a27efb49f4ed093,Robinhood,hodlers+amount+rpc
ashen,0xabc4346a3c996d7e4072fb8ffc592d691fc91321,Robinhood,hodlers+amount+rpc
kookcapitalllc,0x2a1a2a83ece78169a4c02f8a83c951bb7b82e75e,Robinhood,hodlers+amount+rpc
vexrex23,0x63e43e07634ea089af36bed112fd86f2e899d490,Robinhood,hodlers+amount+rpc
attnmarkets,0x11942c17b429eec75b44e2a6fb0fcaf4f002b2cf,Robinhood,hodlers+amount+rpc
quakerrz,0xad4095b4d1ef7ddecea527aeec3448832cf59914,Robinhood,hodlers+amount+rpc
moodengbarbequeconsumer,0x4d8e3f39ea0a6b3bacff2d080d7c576f177ec6f8,BSC,hodlers+amount+rpc
iboughtdips,0xf1c3cf9e01d8f77b1af037d2efc3df252aa3f598,BSC,hodlers+amount+rpc
drkiratrades,0x4ff6700b167171d183de8a441b11540da8f76d3c,BSC,hodlers+amount+rpc
daniell_0x,0x8b3fbf999d14e385192a905f1dd649d04cdd74ea,BSC,hodlers+amount+rpc
chibifloyd,0x9aca2db01b1e5f6126ae8a970eda1f53d353907d,BSC,hodlers+amount+rpc
limedas,0x84c99b4c98d87ec5b54bada13e6517ad3b45f9ec,BSC,hodlers+amount+rpc
zilbaghodler,0xa0b46adc448eacbafc2a1c2fab0f544ea20f4cb2,BSC,hodlers+amount+rpc
jaylene,0x54974bffdcf9e468b7162ad357c6319c8a347a78,BSC,hodlers+amount+rpc
hhhbbnllppn,0x61825b003dfdfd9909a71613cc8cd02559d29c13,BSC,hodlers+amount+rpc
hacemuyfrio,0x10b321e762b85df47782ac8dff9075b6428d98e6,BSC,hodlers+amount+rpc
dezy642,0x9d7572585d3fa14a70b0ee78be8d8f362e9843f8,BSC,hodlers+amount+rpc
radioactivedad,0x44fcd97553b27fb08d3cbc341df878863f2caa40,BSC,hodlers+amount+rpc
corsadoll,0xafba72a3c9a357d52556fdbbc493d3739588bb2b,BSC,hodlers+amount+rpc
kikcharts,0x1f0867192d52ca6c2288f038610a8727b476d307,BSC,hodlers+amount+rpc
steven_giang,0xb5d6da02056f293e3b921197b6ef8599019ef3ab,BSC,hodlers+amount+rpc
ayoubie,0x2534bf769d16b881cbba186323e58bbb54ce244a,BSC,hodlers+amount+rpc
glacierorcus,0xbbb1671b664523edfc94cd5c536b667e044cc346,BSC,hodlers+amount+rpc
sajji,0x6402c210f74af45b1d7b0965e62ee41e9463bd0a,BSC,hodlers+amount+rpc
metagiant,0xae0e326827d7c0028bd2875f39d4d2d94c6b208c,BSC,hodlers+amount+rpc
degenhub,0x03117796e50628bde5246645216309dbe3938d2a,BSC,hodlers+amount+rpc
xavliew,0xa1b99566ece0a7d8e8741405087eef13c165ae3a,BSC,hodlers+amount+rpc
kalm,0x88db86dd00eec2e339af38a95834b801251dfcb1,BSC,hodlers+amount+rpc
coastsidewest,0x646337bc850d7d08010f56a410e323084f5e8033,BSC,hodlers+amount+rpc
convictionmc,0x5ecbd71fb4f9328543589896fbcf82d15de557ae,BSC,hodlers+amount+rpc
makxbt,0xbfcd30066612c53c58b337c975c507b6a4190668,Robinhood,hodlers+amount+rpc
whatever_fomo,0x274e4264a956a93a9b06acaeba802a097d57159f,Robinhood,hodlers+amount+rpc
thomaswight,0x906b75f351f60111b6c010d30eba404c0c863baa,Robinhood,hodlers+amount+rpc
notmymoney,0x5ee3a7e5924b2b14f53b7f2e52bc8d77577a625b,Robinhood,hodlers+amount+rpc
rekturki,0xc77e3519d5f53d0248fbfaac34f44f54ccf937f0,Robinhood,hodlers+amount+rpc
cryptoalbus,0xdc5e4898fae6f88dc4825783196ecb8d02209ba9,Robinhood,hodlers+amount+rpc
quid_defi,0x9cc1edc2ac5b24ce3b0bf8fe0f1d104613715f95,Robinhood,hodlers+amount+rpc
cyrotrades,0x92247551fde3e4c26b1df68f547acfff75ba2621,Robinhood,hodlers+amount+rpc
greenfix93,0x28ac35334c2caf792c7147837f1433338991e656,Ethereum,hodlers+amount+rpc
awzmiix,0x7281b33fa5fb80828e38d86d0547cc3e7331af87,Ethereum,hodlers+amount+rpc
slatewell,0x2d0679e61309f5825d0dce4301d2916cd0cb0dd6,Ethereum,hodlers+amount+rpc
shockuno,0x56199fb24a239e9f7f6fdb598fda1236e4a4148f,Ethereum,hodlers+amount+rpc
micot87,0xa4e4ec8d995bb5a78212ff3b7ce53afb6333328e,Ethereum,hodlers+amount+rpc
moneylord,0xfb2f8e284ed4149358775409f163cb917a62f51e,BSC,hodlers+amount+rpc
smokey0x,0x11be90061fe0cf45f075ca51ae0c3bcb69c28b1d,BSC,hodlers+amount+rpc
staticc,0x352f7e3062bd5072f06733a9a52aae2cdc1bac3e,BSC,hodlers+amount+rpc
6ixse7en,0xad36edc2dce7be20934fdee56591bfde30316018,BSC,hodlers+amount+rpc
macdegods,0x6150b917c11443d5c885ea6751db92a38fd4f5a4,BSC,hodlers+amount+rpc
sol_engineer,0x7a31001f1411fce8f0e928dee0685f9ecca1776a,BSC,hodlers+amount+rpc
0xdedrater,0xa94d2eb35b6d9e2c3c9e53ac83d263d4d2f21137,BSC,hodlers+amount+rpc
cissy,0x0f66a86f8f80563acd2f82e452cd627458998fd6,BSC,hodlers+amount+rpc
0xavast,8xL8S7P4QLdTGRquHas8NP5EVjp2qUGbmSgrkh97mvmq,Solana,hodlers+amount+fomo-sponsor
mc_dipperx,97YaKFYmbnKvLwf3nxqoL4skdk7WbDcCxy59nGGMBSRE,Solana,hodlers+amount+fomo-sponsor
kenzo13ro,FBCeXyW8fT6muxUoqvNn5uBtzWL4HZ4V4F98gDo8seB9,Solana,hodlers+amount+fomo-sponsor
mo_themiracle,BwxirypQ7FQvE4W5eLf5RjMNxGwwXERGQZ85hY9uZeeD,Solana,hodlers+amount+fomo-sponsor
7777laicai,9P1JPThzHE3kgSKJbujNsqobonChXnxgSX81mEgdYhGL,Solana,hodlers+amount+fomo-sponsor
fattony401,4sipTq1tW4fWaokfFte6B3Z2vCWipAju4DZZroKzg8M4,Solana,hodlers+amount+fomo-sponsor
domwoods,9hpadPQD18cJhLoCTjTU7Tqx6CgXFk88Lkd9ePXvndSQ,Solana,hodlers+amount+fomo-sponsor
starplatinum_,F6hpj6ZD17kxpbFJ3yE4VgKgo7oF4tiAbvCxHPvQU1YV,Solana,hodlers+amount+fomo-sponsor
pikestrike_88,FeQTWVX7YxxfMjDhMzDqFZgD1kFMthqFWbYtXZuoaHQJ,Solana,hodlers+amount+fomo-sponsor
tavopronostica,4pbXRBMCoqVW18oWd58NUF2Z2k5oYo5LJuGDm19xgRTy,Solana,hodlers+amount+fomo-sponsor
thediceplayer,Epxwnnix5fVajeE5BN84kQWVDxeMnZvHQJGgNXNcVCBD,Solana,hodlers+amount+fomo-sponsor
